,User,Tweets,Subjectivity,Polarity,Analysis
100,UsmanUK83394837,_ul_inkashmir: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomen…,0.6000000000000001,0.7,Positive
101,monikum31958406,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
102,m_ziyaaancr7,: Be witness to the Agniveer revolution in Kashmir ... Agniveer... WomenOfKashmir Empowerment ... JagoKashmir https…,0.0,0.0,Neutral
103,UsmanUK83394837,_hit05: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPower.…,0.6000000000000001,0.7,Positive
104,Gurdeep13955300,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPow…,0.6000000000000001,0.7,Positive
105,m_ziyaaancr7,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
106,m_ziyaaancr7,: Be witness to Agniveer revolution in Kashmir .. AgnipathScheme.These are WomenOfKashmir with good KashmirWomenPower…,0.6000000000000001,0.7,Positive
107,m_ziyaaancr7,: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPo…,0.6000000000000001,0.7,Positive
108,m_ziyaaancr7,_ul_inkashmir: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomen…,0.6000000000000001,0.7,Positive
109,Gurdeep13955300,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
110,Rajinde22222425,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
